,wl,n,k
70,0.303013794,2.095093,2.959797
71,0.304606628,2.114071,2.968866
72,0.306199463,2.13378,2.976791
73,0.307792328,2.1542209999999997,2.983273
74,0.30938525400000005,2.175201,2.9887650000000003
75,0.31097821,2.196504,2.99378
76,0.312571198,2.217927,2.99879
77,0.314164215,2.239275,3.004225
78,0.31575726299999995,2.260426,3.010163
79,0.317350372,2.281374,3.016168
80,0.31894348100000003,2.30213,3.021786
81,0.320536652,2.322711,3.0266
82,0.32212982200000007,2.343136,3.030224
83,0.323723083,2.363466,3.0325439999999997
84,0.325316345,2.383835,3.034052
85,0.326909607,2.404377,3.0353
86,0.32850292999999997,2.425205,3.0368009999999996
87,0.33009628300000005,2.446417,3.0390330000000003
88,0.33168966699999997,2.468067,3.042373
89,0.333283112,2.489952,3.046536
90,0.33487652599999995,2.511757,3.050923
91,0.33647003200000003,2.533196,3.054971
92,0.338063538,2.5540119999999997,3.058154
93,0.33965704300000005,2.573974,3.059978
94,0.341250641,2.59297,3.060207
95,0.342844208,2.611259,3.059457
96,0.344437836,2.6291580000000003,3.058509
97,0.346031464,2.646953,3.0580950000000002
98,0.34762515299999996,2.664905,3.0589020000000002
99,0.349218842,2.683246,3.0615759999999996
100,0.35081256099999997,2.702165,3.066455
101,0.352406342,2.7217540000000002,3.072727
102,0.35400012200000003,2.742082,3.079333
103,0.355593933,2.7632220000000003,3.085286
104,0.35718774400000003,2.785252,3.089672
105,0.358781586,2.808257,3.091644
106,0.36037548799999997,2.832313,3.090466
107,0.36196939100000003,2.85718,3.086284
108,0.36356329300000007,2.882373,3.079903
109,0.36515725699999996,2.9074169999999997,3.072088
110,0.36675122099999996,2.931851,3.063549
111,0.368345215,2.955231,3.054941
112,0.369939209,2.977125,3.04687
113,0.37153326400000003,2.997177,3.0398400000000003
114,0.373127319,3.0154959999999997,3.033875
115,0.374721375,3.032389,3.0288060000000003
116,0.376315491,3.048152,3.0244720000000003
117,0.377909607,3.063065,3.020729
118,0.37950372299999996,3.077397,3.017442
119,0.38109787,3.091402,3.014486
120,0.382692078,3.105314,3.011748
121,0.38428625499999997,3.119223,3.009109
122,0.385880432,3.1331130000000003,3.006453
123,0.38747467,3.1469669999999996,3.0036680000000002
124,0.38906890899999996,3.160772,3.000648
125,0.39066317700000003,3.174513,2.997293
126,0.392257446,3.188181,2.9935099999999997
127,0.393851746,3.201767,2.989211
128,0.395446045,3.215273,2.984347
129,0.397040375,3.22875,2.979056
130,0.398634705,3.2422590000000002,2.973523
131,0.400229065,3.255855,2.967925
132,0.401823425,3.269589,2.96243
133,0.403417786,3.283507,2.9571970000000003
134,0.40501217700000003,3.29765,2.952379
135,0.40660659800000004,3.3120550000000004,2.9481189999999997
136,0.408200989,3.326746,2.944532
137,0.409795471,3.341673,2.9415430000000002
138,0.411389893,3.356753,2.938989
139,0.412984314,3.3719080000000003,2.936715
140,0.414578796,3.3870690000000003,2.934572
141,0.416173248,3.402165,2.9324209999999997
142,0.41776773100000003,3.417139,2.930126
143,0.419362213,3.4319319999999998,2.927562
144,0.420956726,3.4464930000000003,2.924605
145,0.422551208,3.460783,2.921179
146,0.42414575199999993,3.4748099999999997,2.917333
147,0.425740295,3.4885879999999996,2.913146
148,0.427334808,3.502129,2.908689
149,0.42892935199999993,3.5154449999999997,2.904033
150,0.43052386500000006,3.528547,2.899244
151,0.43211846900000006,3.5414440000000003,2.8943849999999998
152,0.433712982,3.5541449999999997,2.8895169999999997
153,0.435307556,3.5666580000000003,2.884696
154,0.436902161,3.5789910000000003,2.879973
155,0.43849673499999997,3.5911720000000003,2.87535
156,0.440091309,3.603241,2.870802
157,0.441685883,3.6152339999999996,2.866305
158,0.443280457,3.627187,2.861837
159,0.444875061,3.639134,2.857377
160,0.446469635,3.6511089999999995,2.852906
161,0.44806427000000004,3.6631419999999997,2.848404
162,0.44965884400000006,3.675264,2.843856
163,0.451253479,3.687502,2.839245
164,0.45284805300000003,3.699881,2.8345599999999997
165,0.45444262699999993,3.7123690000000003,2.8298240000000003
166,0.456037262,3.724903,2.825081
167,0.457631836,3.737422,2.820374
168,0.459226471,3.7498669999999996,2.815741
169,0.46082104500000004,3.7621839999999995,2.8112209999999997
170,0.46241568,3.774317,2.8068470000000003
171,0.464010254,3.7862150000000003,2.802652
172,0.46560488899999997,3.7978300000000003,2.798667
173,0.467199463,3.8091120000000003,2.7949200000000003
174,0.468794037,3.820018,2.791439
175,0.470388611,3.83052,2.788239
176,0.471983246,3.840672,2.785286
177,0.47357782000000004,3.850557,2.7825330000000004
178,0.47517242400000004,3.8602559999999997,2.779933
179,0.47676699800000005,3.8698449999999998,2.7774419999999997
180,0.478361511,3.879397,2.775018
181,0.479956116,3.888983,2.772622
182,0.48155069000000006,3.8986699999999996,2.770218
183,0.483145203,3.908523,2.767769
184,0.48473974599999997,3.918604,2.765244
185,0.48633432,3.928972,2.762612
186,0.48792886399999996,3.939683,2.759842
187,0.489523376,3.950761,2.756932
188,0.491117859,3.962158,2.753925
189,0.49271240199999994,3.973825,2.750867
190,0.494306885,3.9857139999999998,2.747801
191,0.495901367,3.997775,2.744771
192,0.49749585,4.009965,2.741816
193,0.499090332,4.022238,2.738973
194,0.500684814,4.034552,2.736278
195,0.502279236,4.0468660000000005,2.733765
196,0.503873688,4.059141,2.731465
197,0.5054681089999999,4.071339,2.729409
198,0.507062561,4.083423000000001,2.727625
199,0.508656921,4.095362000000001,2.726136
